,,,,,,,,,,,,
,,,,,,,,,,,,
Personas Certificadas Instituciones Educación para el Trabajo y el Desarrollo Humano,,,,,,,,,,,,
2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,
 515 ," 1,244 ", 954 ," 1,549 "," 2,500 "," 4,200 "," 4,473 "," 4,739 "," 4,954 "," 6,209 "," 2,450 "," 1,647 ",
 229 , 468 , 301 , 113 , 615 , 720 , 910 , 891 , 933 ," 1,217 ", 346 , 222 ,
 285 , 736 , 584 ," 1,352 "," 1,742 "," 3,302 "," 3,384 "," 3,671 "," 3,985 "," 4,812 "," 2,044 "," 1,399 ",
 1 , 40 , 69 , 84 , 143 , 178 , 179 , 177 , 36 , 180 , 60 , 26 ,
 633 ," 1,008 "," 2,172 "," 1,953 "," 3,348 "," 5,497 "," 5,092 "," 6,243 "," 9,178 "," 8,720 "," 5,993 "," 4,409 ",
 232 , 317 , 490 , 551 , 813 ," 1,285 "," 1,144 "," 1,760 "," 1,677 "," 1,274 "," 1,327 ", 328 ,
 401 , 691 ," 1,682 "," 1,402 "," 2,535 "," 4,212 "," 3,948 "," 4,483 "," 7,501 "," 7,446 "," 4,666 "," 4,081 ",
" 1,038 "," 1,307 "," 2,764 "," 3,269 "," 2,947 "," 4,654 "," 5,783 "," 4,896 "," 5,327 "," 4,315 "," 2,494 "," 1,981 ",
 88 , 166 , 359 , 494 , 703 ," 1,325 "," 1,160 ", 744 , 662 , 299 , 49 , 130 ,
 196 , 109 , 537 , 393 , 475 , 538 , 826 , 917 ," 1,098 ", 866 , 710 , 670 ,
 754 , 903 ," 1,222 "," 1,412 "," 1,341 "," 1,865 "," 2,972 "," 2,600 "," 3,010 "," 2,763 "," 1,498 "," 1,130 ",
 -   , 129 , 646 , 970 , 428 , 926 , 825 , 635 , 557 , 387 , 237 , 51 ,
 257 ," 1,783 "," 1,195 "," 1,464 "," 1,830 "," 2,601 "," 2,867 "," 2,952 "," 3,904 "," 2,464 "," 2,131 "," 1,223 ",
 76 , 206 , 242 , 198 , 154 , 207 , 409 , 284 , 597 , 821 , 736 , 472 ,
 181 ," 1,577 ", 953 ," 1,266 "," 1,676 "," 2,394 "," 2,458 "," 2,668 "," 3,307 "," 1,643 "," 1,395 ", 751 ,
 534 , 248 , 461 , 787 , 999 , 656 ," 1,230 ", 527 , 809 , 773 , 553 , 610 ,
 534 , 248 , 461 , 787 , 999 , 656 ," 1,230 ", 527 , 809 , 773 , 553 , 610 ,
 738 , 557 , 824 ," 1,301 "," 1,420 "," 1,676 "," 2,479 "," 2,313 "," 2,680 "," 2,764 "," 1,529 ", 944 ,
 93 , 101 , 191 , 148 , 181 , 442 , 987 , 532 , 421 , 169 , 91 , -   ,
 645 , 456 , 633 ," 1,153 "," 1,239 "," 1,234 "," 1,492 "," 1,781 "," 2,259 "," 2,595 "," 1,438 ", 944 ,
" 1,030 ", 828 ," 1,370 "," 1,973 "," 2,194 "," 2,356 "," 2,160 "," 3,100 "," 2,607 "," 2,568 "," 1,638 ", 777 ,
 70 , 33 , 30 , 34 , 60 , 98 , 128 , 256 , 126 , 169 , 99 , 10 ,
 -   , 50 , 8 , -   , 13 , 12 , 65 , 179 , 156 , 128 , 35 , 7 ,
 960 , 745 ," 1,332 "," 1,939 "," 2,121 "," 2,246 "," 1,967 "," 2,665 "," 2,325 "," 2,271 "," 1,504 ", 760 ,
" 1,161 "," 2,093 "," 2,146 "," 3,606 "," 4,246 "," 5,203 "," 7,066 "," 9,589 "," 10,843 "," 10,956 "," 7,836 "," 6,636 ",
 248 , 277 , 422 , 451 , 508 , 510 , 812 , 880 , 843 , 836 , 591 , 395 ,
 172 , 798 , 390 , 552 , 634 , 581 , 797 ," 1,190 "," 1,551 "," 2,267 "," 1,202 "," 1,418 ",
 631 , 926 , 879 ," 2,273 "," 2,679 "," 3,477 "," 4,949 "," 7,027 "," 7,557 "," 6,903 "," 5,265 "," 4,433 ",
 9 , 33 , 138 , 264 , 191 , 298 , 273 , 306 , 434 , 332 , 197 , 158 ,
 96 , 25 , 255 , 5 , 191 , 319 , 231 , 186 , 393 , 618 , 581 , 232 ,
 5 , 34 , 62 , 61 , 43 , 18 , 4 , -   , 65 , -   , -   , -   ,
 871 , 896 ," 1,404 "," 1,394 "," 1,870 "," 2,910 "," 3,566 "," 3,488 "," 2,239 "," 2,324 ", 667 , 295 ,
 55 , 61 , 77 , 163 , 97 , 461 , 564 , 880 , 390 , 343 , 106 , 181 ,
 816 , 835 ," 1,327 "," 1,231 "," 1,773 "," 2,449 "," 3,002 "," 2,608 "," 1,849 "," 1,981 ", 561 , 114 ,
" 1,221 "," 1,643 "," 1,302 "," 1,220 "," 1,563 "," 1,423 "," 3,319 "," 4,566 "," 5,509 "," 3,086 "," 2,046 "," 1,678 ",
 405 , 731 , 706 , 779 , 745 , 711 ," 1,361 "," 3,245 "," 4,239 "," 1,769 ", 882 , 556 ,
 816 , 912 , 596 , 441 , 818 , 712 ," 1,958 "," 1,321 "," 1,270 "," 1,317 "," 1,164 "," 1,122 ",
" 6,181 "," 7,301 "," 6,156 "," 7,618 "," 8,294 "," 10,596 "," 13,369 "," 16,750 "," 17,185 "," 15,485 "," 10,766 "," 7,582 ",
 456 , 123 , 25 , 140 , 176 , 137 , 213 , 510 , 317 , 471 , 304 , 319 ,
 30 , 155 , 242 , 98 , 450 , 249 , 809 , 687 , 715 , 349 , 258 , 80 ,
 416 , 386 , 290 , 386 , 330 , 493 , 455 , 507 , 581 , 649 , 468 , 268 ,
" 3,992 "," 5,019 "," 4,409 "," 5,490 "," 5,421 "," 7,766 "," 9,282 "," 10,359 "," 10,921 "," 10,190 "," 7,661 "," 4,982 ",
 116 , 392 , 263 , 290 , 439 , 207 , 487 , 426 , 407 , 487 , 444 , 370 ,
 -   , 14 , 6 , 37 , 47 , 26 , 135 , 114 , 62 , 117 , 111 , 113 ,
 633 , 578 , 444 , 493 , 696 , 935 , 701 , 809 , 974 ," 1,315 ", 643 , 562 ,
 538 , 512 , 426 , 490 , 566 , 565 , 915 ," 2,768 "," 2,386 "," 1,170 ", 473 , 630 ,
 -   , 122 , 51 , 194 , 169 , 218 , 372 , 570 , 822 , 737 , 404 , 258 ,
 -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
 -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
 -   , -   , -   , -   , -   , 10 , -   , -   , 16 , -   , -   , -   ,
 -   , -   , -   , -   , -   , 10 , -   , -   , 16 , -   , -   , -   ,
" 39,435 "," 51,478 "," 57,518 "," 75,124 "," 99,860 "," 139,184 "," 167,776 "," 178,412 "," 206,066 "," 189,901 "," 123,453 "," 103,387 ",
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
